match_id,season,competition,matchweek,date,home_team,away_team,home_goals,away_goals,result
1,1974-75,English First Division,1,1974-08-17,Birmingham City,Middlesbrough,0,3,A
2,1974-75,English First Division,1,1974-08-17,Stoke City,Leeds United,3,0,H
3,1974-75,English First Division,1,1974-08-17,Sheffield United,Queens Park Rangers,1,1,D
4,1974-75,English First Division,1,1974-08-17,Newcastle United,Coventry City,3,2,H
5,1974-75,English First Division,1,1974-08-17,Manchester City,West Ham United,4,0,H
6,1974-75,English First Division,1,1974-08-17,Luton Town,Liverpool,1,2,A
7,1974-75,English First Division,1,1974-08-17,Leicester City,Arsenal,0,1,A
8,1974-75,English First Division,1,1974-08-17,Everton,Derby County,0,0,D
9,1974-75,English First Division,1,1974-08-17,Chelsea,Carlisle United,0,2,A
10,1974-75,English First Division,1,1974-08-17,Tottenham Hotspur,Ipswich Town,0,1,A
11,1974-75,English First Division,1,1974-08-17,Burnley,Wolverhampton Wanderers,1,2,A
12,1974-75,English First Division,2,1974-08-19,West Ham United,Luton Town,2,0,H
13,1974-75,English First Division,2,1974-08-20,Everton,Stoke City,2,1,H
14,1974-75,English First Division,2,1974-08-20,Birmingham City,Leicester City,3,4,A
15,1974-75,English First Division,2,1974-08-20,Wolverhampton Wanderers,Liverpool,0,0,D
16,1974-75,English First Division,2,1974-08-20,Middlesbrough,Carlisle United,0,2,A
17,1974-75,English First Division,2,1974-08-20,Arsenal,Ipswich Town,0,1,A
18,1974-75,English First Division,2,1974-08-21,Leeds United,Queens Park Rangers,0,1,A
19,1974-75,English First Division,2,1974-08-21,Chelsea,Burnley,3,3,D
20,1974-75,English First Division,2,1974-08-21,Derby County,Coventry City,1,1,D
21,1974-75,English First Division,2,1974-08-21,Manchester City,Tottenham Hotspur,1,0,H
22,1974-75,English First Division,2,1974-08-21,Newcastle United,Sheffield United,2,2,D
23,1974-75,English First Division,3,1974-08-24,Leeds United,Birmingham City,1,0,H
24,1974-75,English First Division,3,1974-08-24,Arsenal,Manchester City,4,0,H
25,1974-75,English First Division,3,1974-08-24,West Ham United,Everton,2,3,A
26,1974-75,English First Division,3,1974-08-24,Queens Park Rangers,Stoke City,0,1,A
27,1974-75,English First Division,3,1974-08-24,Middlesbrough,Luton Town,1,1,D
28,1974-75,English First Division,3,1974-08-24,Liverpool,Leicester City,2,1,H
29,1974-75,English First Division,3,1974-08-24,Ipswich Town,Burnley,2,0,H
30,1974-75,English First Division,3,1974-08-24,Derby County,Sheffield United,2,0,H
31,1974-75,English First Division,3,1974-08-24,Coventry City,Chelsea,1,3,A
32,1974-75,English First Division,3,1974-08-24,Carlisle United,Tottenham Hotspur,1,0,H
33,1974-75,English First Division,3,1974-08-24,Wolverhampton Wanderers,Newcastle United,4,2,H
34,1974-75,English First Division,4,1974-08-27,Queens Park Rangers,Leeds United,1,1,D
35,1974-75,English First Division,4,1974-08-27,Burnley,Chelsea,1,2,A
36,1974-75,English First Division,4,1974-08-27,Sheffield United,Newcastle United,2,1,H
37,1974-75,English First Division,4,1974-08-27,Liverpool,Wolverhampton Wanderers,2,0,H
38,1974-75,English First Division,4,1974-08-27,Ipswich Town,Arsenal,3,0,H
39,1974-75,English First Division,4,1974-08-27,Coventry City,Derby County,1,1,D
40,1974-75,English First Division,4,1974-08-27,Carlisle United,Middlesbrough,0,1,A
41,1974-75,English First Division,4,1974-08-28,Leicester City,Birmingham City,1,1,D
42,1974-75,English First Division,4,1974-08-28,Luton Town,West Ham United,0,0,D
43,1974-75,English First Division,4,1974-08-28,Stoke City,Everton,1,1,D
44,1974-75,English First Division,4,1974-08-28,Tottenham Hotspur,Manchester City,1,2,A
45,1974-75,English First Division,5,1974-08-31,Manchester City,Leeds United,2,1,H
46,1974-75,English First Division,5,1974-08-31,Birmingham City,Wolverhampton Wanderers,1,1,D
47,1974-75,English First Division,5,1974-08-31,Stoke City,Middlesbrough,1,1,D
48,1974-75,English First Division,5,1974-08-31,Sheffield United,Ipswich Town,3,1,H
49,1974-75,English First Division,5,1974-08-31,Newcastle United,West Ham United,2,0,H
50,1974-75,English First Division,5,1974-08-31,Luton Town,Queens Park Rangers,1,1,D
51,1974-75,English First Division,5,1974-08-31,Leicester City,Carlisle United,1,1,D
52,1974-75,English First Division,5,1974-08-31,Everton,Arsenal,2,1,H
53,1974-75,English First Division,5,1974-08-31,Chelsea,Liverpool,0,3,A
54,1974-75,English First Division,5,1974-08-31,Burnley,Coventry City,3,0,H
55,1974-75,English First Division,5,1974-08-31,Tottenham Hotspur,Derby County,2,0,H
56,1974-75,English First Division,6,1974-09-07,Leeds United,Luton Town,1,1,D
57,1974-75,English First Division,6,1974-09-07,Arsenal,Burnley,0,1,A
58,1974-75,English First Division,6,1974-09-07,West Ham United,Sheffield United,1,2,A
