Pos,Team,P,W,D,L,F,A,GAvg,Pts
1,Ipswich Town,10,8,0,2,18,6,1.800,16
2,Manchester City,10,6,2,2,14,11,1.400,14
3,Liverpool,10,6,1,3,17,8,1.700,13
4,Sheffield United,10,5,3,2,14,14,1.400,13
5,Everton,10,4,5,1,14,11,1.400,13
6,Newcastle United,9,5,2,2,16,13,1.778,12
7,Derby County,10,3,5,2,16,13,1.600,11
8,Middlesbrough,9,4,3,2,12,7,1.333,11
9,Stoke City,10,4,3,3,13,11,1.300,11
10,Wolverhampton Wanderers,10,3,5,2,12,11,1.200,11
11,Carlisle United,10,4,2,4,8,8,0.800,10
12,West Ham United,10,4,1,5,20,18,2.000,9
13,Burnley,10,4,1,5,17,18,1.700,9
14,Birmingham City,10,3,2,5,12,17,1.200,8
15,Coventry City,10,2,4,4,11,17,1.100,8
16,Leicester City,9,2,3,4,13,17,1.444,7
17,Luton Town,10,1,5,4,11,16,1.100,7
18,Chelsea,10,2,3,5,10,18,1.000,7
19,Leeds United,9,2,2,5,12,14,1.333,6
20,Tottenham Hotspur,9,3,0,6,11,15,1.222,6
21,Arsenal,9,2,2,5,9,12,1.000,6
22,Queens Park Rangers,10,1,4,5,8,13,0.800,6
